trial,learning_rate,momentum,decay,cosine_period,initialization,loss_lambda
30,0.0015289943715999683,0.95,0.0003789340996985058,15,Pretrained,0.5332006978365229
31,0.005401657974102333,0.95,0.00041761382983666336,30,Pretrained,0.7021467284236489
32,0.00030637692275329713,0.8,0.00013996823313473485,20,Pretrained,0.6209123175942382
33,0.01982674238613493,0.99,0.00039846148298637997,30,Pretrained,0.5572744298632889
34,0.0007967332519605065,0.8,0.00977626663071932,15,Pretrained,0.631453770862113
35,0.0003830316407099506,0.8,0.00014336924216841639,15,Pretrained,0.5709956574668529
36,0.03352947071869892,0.99,0.001584150213069646,10,Kaiming,0.7205714212109757
37,0.005161117315293712,0.99,0.00015730002297471222,20,Pretrained,0.7392202696037409
38,0.00019992945137153935,0.8,0.0063691628618915705,10,Pretrained,0.6858322198776514
39,0.018308835526719063,0.8,0.0002586905401307568,15,Pretrained,0.6769348918381497
40,0.0008057386574492569,0.8,0.0005036530765723654,30,Pretrained,0.6746477940114286
41,0.001663747362657184,0.95,0.007087560246452338,20,Kaiming,0.7375585749997542
42,0.002421394008579275,0.8,0.003064612055049445,15,Pretrained,0.648256220434462
43,0.0031174938791115893,0.95,0.0012541121769232423,10,Pretrained,0.5053237166029579
44,0.014334731420904735,0.9,0.005821434451511437,20,Pretrained,0.7425605421718996
45,0.0003421033068251886,0.99,0.0038693458600262023,15,Kaiming,0.6392702168945655
46,0.009673978201635625,0.99,0.0005376700316247538,10,Pretrained,0.7130993770238252
47,0.00025779594730178927,0.8,0.000863892718204944,30,Kaiming,0.6250826312489537
48,0.010309440219285303,0.9,0.00022023789027027254,30,Pretrained,0.5821301556819785
49,0.013000503589846233,0.95,0.000570814425056137,10,Kaiming,0.6030711469669243
50,0.09622367866885469,0.99,0.0022549698848370794,30,Pretrained,0.7039174320865421
51,0.0003956539951641607,0.95,0.002326329469063074,30,Kaiming,0.6652799917234045
52,0.006287370735447922,0.99,0.0005781059990020746,30,Pretrained,0.7430637623402486
53,0.08546743718962502,0.9,0.001060455848118881,15,Kaiming,0.6392454674044281
54,0.022195885972128446,0.9,0.00010037500880678898,30,Xavier,0.6513504071015107
55,0.00010534928766115032,0.99,0.0008708406610862102,10,Xavier,0.7074208756614657
56,0.0008456681247320037,0.95,0.0005797811754114514,10,Kaiming,0.5485509934085462
57,0.00047235169620965674,0.9,0.00010796686988281757,15,Pretrained,0.5640012490258688
58,0.008353284437502363,0.95,0.003410211575109628,10,Xavier,0.5734773275444611
59,0.0007019154843781808,0.9,0.0004008423621907329,30,Pretrained,0.7088283276523512
60,0.0024995921744779843,0.8,0.0028263956817625494,30,Kaiming,0.5295757308243502
61,0.0028401498579440675,0.95,0.00028329396964432387,15,Xavier,0.6800158221042637
62,0.0003624326298799477,0.99,0.0009093649379147627,20,Pretrained,0.6156962940128687
63,0.0005710662735385962,0.99,0.00018396068899545617,30,Pretrained,0.6106330793639352
64,0.0036540679104615473,0.9,0.0006181613299754195,15,Pretrained,0.5622111125357739
65,0.0016695799265850765,0.99,0.005011943851431433,30,Pretrained,0.7472978853345011
66,0.0003941015031771318,0.95,0.002760436957616573,20,Kaiming,0.645849152069164
67,0.007273272000762278,0.95,0.004706096855276668,15,Xavier,0.5887251822899262
68,0.013779778384140635,0.9,0.003573499166624929,10,Pretrained,0.704386184954743
69,0.03290743394982605,0.99,0.0008725866411222824,30,Pretrained,0.7049247572695673
70,0.011495923893565772,0.99,0.004879931179664876,10,Pretrained,0.740315060148808
71,0.00015993190862257771,0.99,0.004372886440643449,30,Pretrained,0.6137433023024467
